id;street_address;postal_code;city;state_province
1;badly ew reckless;positively and;East Filomena;pastry after gee
2;convenience equip oh;where underneath for;Greeley;gracefully if
3;appellation;instead;Keelyberg;orbit aboard luxuriate
4;billow motionless oof;loosely;Lancaster;hydrogen deceivingly
5;eviscerate;wherever;Arlington Heights;rebel equalise disastrous
6;pitiful yawningly;yearly uncork advance;Lake Baileystad;yippee
7;spume;conspirator clockwork;Jaidaview;whoa incidentally
8;chop courteous;lest;Port Jett;copyright loose
9;loosely;like deficient;Port Tremaineville;ouch
10;moon;mail;Rickchester;pro pro adapter
